Path,Line Coverage,Function Coverage,Region Coverage
src/git/builtin/merge-file.c,0.00% (0/87),0.00% (0/2),0.00% (0/83)
src/git/builtin/merge-index.c,0.00% (0/47),0.00% (0/3),0.00% (0/44)
src/git/builtin/merge-recursive.c,0.00% (0/66),0.00% (0/2),0.00% (0/60)
src/git/builtin/merge-tree.c,0.00% (0/243),0.00% (0/20),0.00% (0/152)
src/git/builtin/merge.c,0.00% (0/985),0.00% (0/36),0.00% (0/744)
src/git/builtin/mktag.c,0.00% (0/65),0.00% (0/3),0.00% (0/34)
src/git/builtin/mktree.c,0.00% (0/123),0.00% (0/5),0.00% (0/104)
src/git/builtin/multi-pack-index.c,0.00% (0/65),0.00% (0/5),0.00% (0/35)
src/git/builtin/mv.c,0.00% (0/217),0.00% (0/4),0.00% (0/207)
src/git/builtin/name-rev.c,0.00% (0/422),0.00% (0/19),0.00% (0/351)
src/git/builtin/notes.c,0.00% (0/684),0.00% (0/24),0.00% (0/469)
src/git/builtin/pack-objects.c,0.00% (0/2618),0.00% (0/108),0.00% (0/2138)
src/git/builtin/pack-redundant.c,0.00% (0/396),0.00% (0/25),0.00% (0/238)
src/git/builtin/pack-refs.c,0.00% (0/12),0.00% (0/1),0.00% (0/10)
src/git/builtin/patch-id.c,0.00% (0/87),0.00% (0/5),0.00% (0/76)
src/git/builtin/prune-packed.c,0.00% (0/18),0.00% (0/1),0.00% (0/10)
src/git/builtin/prune.c,0.00% (0/127),0.00% (0/8),0.00% (0/97)
src/git/builtin/pull.c,0.00% (0/526),0.00% (0/24),0.00% (0/388)
src/git/builtin/push.c,0.00% (0/332),0.00% (0/17),0.00% (0/317)
src/git/builtin/range-diff.c,0.00% (0/76),0.00% (0/1),0.00% (0/50)
src/git/builtin/read-tree.c,0.00% (0/180),0.00% (0/7),0.00% (0/193)
src/git/builtin/rebase.c,0.00% (0/1449),0.00% (0/33),0.00% (0/1154)
src/git/builtin/receive-pack.c,0.00% (0/1638),0.00% (0/58),0.00% (0/1209)
src/git/builtin/reflog.c,0.00% (0/288),0.00% (0/13),0.00% (0/279)
src/git/builtin/remote-ext.c,0.00% (0/113),0.00% (0/5),0.00% (0/79)
src/git/builtin/remote-fd.c,0.00% (0/20),0.00% (0/1),0.00% (0/25)
src/git/builtin/remote.c,0.00% (0/1080),0.00% (0/39),0.00% (0/778)
src/git/builtin/repack.c,0.00% (0/464),0.00% (0/14),0.00% (0/428)
src/git/builtin/replace.c,0.00% (0/412),0.00% (0/15),0.00% (0/315)
src/git/builtin/rerere.c,0.00% (0/26),0.00% (0/2),0.00% (0/13)
src/git/builtin/reset.c,0.00% (0/282),0.00% (0/10),0.00% (0/252)
src/git/builtin/rev-list.c,0.00% (0/242),0.00% (0/14),0.00% (0/169)
src/git/builtin/rev-parse.c,0.00% (0/411),0.00% (0/21),0.00% (0/357)
src/git/builtin/revert.c,0.00% (0/176),0.00% (0/8),0.00% (0/157)
src/git/builtin/rm.c,0.00% (0/244),0.00% (0/4),0.00% (0/238)
src/git/builtin/send-pack.c,0.00% (0/238),0.00% (0/2),0.00% (0/173)
src/git/builtin/shortlog.c,0.00% (0/345),0.00% (0/15),0.00% (0/279)
src/git/builtin/show-branch.c,0.00% (0/667),0.00% (0/27),0.00% (0/554)
src/git/builtin/show-index.c,0.00% (0/92),0.00% (0/1),0.00% (0/96)
src/git/builtin/show-ref.c,0.00% (0/104),0.00% (0/6),0.00% (0/100)
src/git/builtin/sparse-checkout.c,0.00% (0/423),0.00% (0/17),0.00% (0/232)
src/git/builtin/stash.c,0.00% (0/1152),0.00% (0/38),0.00% (0/752)
src/git/builtin/stripspace.c,0.00% (0/37),0.00% (0/2),0.00% (0/21)
src/git/builtin/submodule--helper.c,0.00% (0/1824),0.00% (0/65),0.00% (0/1302)
src/git/builtin/symbolic-ref.c,0.00% (0/20),0.00% (0/1),0.00% (0/15)
src/git/builtin/tag.c,0.00% (0/441),0.00% (0/13),0.00% (0/412)
src/git/builtin/unpack-file.c,0.00% (0/16),0.00% (0/1),0.00% (0/10)
src/git/builtin/unpack-objects.c,0.00% (0/349),0.00% (0/17),0.00% (0/254)
src/git/builtin/update-index.c,0.00% (0/894),0.00% (0/37),0.00% (0/778)
src/git/builtin/update-ref.c,0.00% (0/345),0.00% (0/14),0.00% (0/323)
src/git/builtin/update-server-info.c,0.00% (0/13),0.00% (0/1),0.00% (0/7)
src/git/builtin/upload-archive.c,0.00% (0/60),0.00% (0/3),0.00% (0/41)
src/git/builtin/upload-pack.c,0.00% (0/44),0.00% (0/1),0.00% (0/33)
src/git/builtin/var.c,0.00% (0/38),0.00% (0/5),0.00% (0/27)
src/git/builtin/verify-commit.c,0.00% (0/49),0.00% (0/4),0.00% (0/35)
src/git/builtin/verify-pack.c,0.00% (0/59),0.00% (0/2),0.00% (0/44)
src/git/builtin/verify-tag.c,0.00% (0/45),0.00% (0/2),0.00% (0/38)
src/git/builtin/worktree.c,0.00% (0/776),0.00% (0/31),0.00% (0/577)
src/git/builtin/write-tree.c,0.00% (0/36),0.00% (0/1),0.00% (0/19)
