Path,Line Coverage,Function Coverage,Region Coverage
src/haproxy/include/import/eb64tree.h,0.00% (0/459),0.00% (0/14),0.00% (0/222)
src/haproxy/include/import/ebimtree.h,0.00% (0/268),0.00% (0/2),0.00% (0/121)
src/haproxy/include/import/ebistree.h,0.00% (0/266),0.00% (0/3),0.00% (0/76)
src/haproxy/include/import/ebmbtree.h,0.00% (0/660),0.00% (0/15),0.00% (0/300)
src/haproxy/include/import/ebpttree.h,0.00% (0/66),0.00% (0/16),0.00% (0/28)
src/haproxy/include/import/ebsttree.h,0.00% (0/266),0.00% (0/3),0.00% (0/76)
src/haproxy/include/import/ebtree.h,0.00% (0/412),0.00% (0/27),0.00% (0/173)
src/haproxy/include/import/ist.h,0.00% (0/447),0.00% (0/42),0.00% (0/139)
src/haproxy/include/import/slz-tables.h,100.00% (72/72),100.00% (3/3),100.00% (50/50)
src/haproxy/include/import/slz.h,0.00% (0/37),0.00% (0/3),0.00% (0/15)
src/haproxy/include/import/xxhash.h,0.00% (0/1860),0.00% (0/115),0.00% (0/657)
src/haproxy/src/acl.c,0.00% (0/640),0.00% (0/16),0.00% (0/508)
src/haproxy/src/action.c,0.00% (0/139),0.00% (0/7),0.00% (0/117)
src/haproxy/src/activity.c,0.00% (0/182),0.00% (0/5),0.00% (0/133)
src/haproxy/src/applet.c,0.00% (0/47),0.00% (0/2),0.00% (0/54)
src/haproxy/src/arg.c,0.00% (0/262),0.00% (0/3),0.00% (0/273)
src/haproxy/src/auth.c,0.00% (0/114),0.00% (0/4),0.00% (0/95)
src/haproxy/src/backend.c,0.00% (0/1696),0.00% (0/51),0.00% (0/1799)
src/haproxy/src/base64.c,0.00% (0/168),0.00% (0/6),0.00% (0/116)
src/haproxy/src/cache.c,0.00% (0/1419),0.00% (0/50),0.00% (0/1320)
src/haproxy/src/cfgdiag.c,0.00% (0/51),0.00% (0/4),0.00% (0/27)
src/haproxy/src/cfgparse-listen.c,0.00% (0/80),0.00% (0/13),0.00% (0/53)
src/haproxy/src/cfgparse.c,21.82% (463/2122),17.24% (5/29),20.34% (405/1991)
src/haproxy/src/channel.c,0.00% (0/252),0.00% (0/13),0.00% (0/241)
src/haproxy/src/check.c,0.00% (0/1423),0.00% (0/54),0.00% (0/2322)
src/haproxy/src/chunk.c,0.00% (0/171),0.00% (0/12),0.00% (0/105)
src/haproxy/src/cli.c,0.00% (0/1636),0.00% (0/38),0.00% (0/1746)
src/haproxy/src/compression.c,1.40% (2/143),5.56% (1/18),1.22% (1/82)
src/haproxy/src/connection.c,0.00% (0/969),0.00% (0/23),0.00% (0/784)
src/haproxy/src/debug.c,0.00% (0/578),0.00% (0/22),0.00% (0/774)
src/haproxy/src/dgram.c,0.00% (0/10),0.00% (0/1),0.00% (0/8)
src/haproxy/src/dict.c,0.00% (0/73),0.00% (0/6),0.00% (0/82)
src/haproxy/src/dns.c,0.00% (0/738),0.00% (0/19),0.00% (0/578)
src/haproxy/src/dynbuf.c,0.00% (0/63),0.00% (0/3),0.00% (0/65)
src/haproxy/src/eb32sctree.c,0.00% (0/248),0.00% (0/5),0.00% (0/204)
src/haproxy/src/eb32tree.c,0.00% (0/105),0.00% (0/6),0.00% (0/115)
src/haproxy/src/eb64tree.c,0.00% (0/105),0.00% (0/6),0.00% (0/115)
src/haproxy/src/ebimtree.c,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/haproxy/src/ebistree.c,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/haproxy/src/ebmbtree.c,0.00% (0/15),0.00% (0/5),0.00% (0/5)
src/haproxy/src/ebsttree.c,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/haproxy/src/ebtree.c,0.00% (0/16),0.00% (0/3),0.00% (0/7)
src/haproxy/src/errors.c,50.48% (105/208),42.11% (8/19),42.54% (77/181)
src/haproxy/src/extcheck.c,0.00% (0/367),0.00% (0/12),0.00% (0/355)
src/haproxy/src/fcgi-app.c,0.00% (0/568),0.00% (0/21),0.00% (0/541)
src/haproxy/src/fd.c,0.00% (0/412),0.00% (0/18),0.00% (0/428)
src/haproxy/src/filters.c,0.00% (0/570),0.00% (0/31),0.00% (0/894)
src/haproxy/src/fix.c,0.00% (0/130),0.00% (0/3),0.00% (0/209)
src/haproxy/src/flt_http_comp.c,0.00% (0/458),0.00% (0/19),0.00% (0/625)
src/haproxy/src/flt_spoe.c,0.00% (0/2660),0.00% (0/65),0.00% (0/2141)
src/haproxy/src/freq_ctr.c,0.00% (0/32),0.00% (0/1),0.00% (0/29)
src/haproxy/src/frontend.c,0.00% (0/145),0.00% (0/8),0.00% (0/106)
src/haproxy/src/h1.c,0.00% (0/669),0.00% (0/8),0.00% (0/946)
src/haproxy/src/h1_htx.c,0.00% (0/625),0.00% (0/18),0.00% (0/671)
src/haproxy/src/haproxy.c,0.00% (0/1778),0.00% (0/34),0.00% (0/1668)
src/haproxy/src/hash.c,0.00% (0/76),0.00% (0/5),0.00% (0/31)
src/haproxy/src/http.c,0.00% (0/478),0.00% (0/18),0.00% (0/622)
src/haproxy/src/http_ana.c,0.06% (2/3192),2.13% (1/47),0.02% (1/4224)
src/haproxy/src/http_fetch.c,0.00% (0/1270),0.00% (0/55),0.00% (0/1144)
src/haproxy/src/http_htx.c,0.00% (0/1798),0.00% (0/55),0.00% (0/1602)
src/haproxy/src/http_rules.c,18.18% (2/11),25.00% (1/4),25.00% (1/4)
src/haproxy/src/htx.c,0.00% (0/671),0.00% (0/19),0.00% (0/412)
src/haproxy/src/init.c,0.00% (0/100),0.00% (0/10),0.00% (0/50)
src/haproxy/src/lb_chash.c,0.00% (0/302),0.00% (0/10),0.00% (0/252)
src/haproxy/src/lb_fas.c,0.00% (0/181),0.00% (0/9),0.00% (0/160)
src/haproxy/src/lb_fwlc.c,0.00% (0/191),0.00% (0/9),0.00% (0/192)
src/haproxy/src/lb_fwrr.c,0.00% (0/340),0.00% (0/16),0.00% (0/265)
src/haproxy/src/lb_map.c,0.00% (0/151),0.00% (0/6),0.00% (0/134)
src/haproxy/src/listener.c,0.00% (0/714),0.00% (0/40),0.00% (0/1048)
src/haproxy/src/log.c,0.00% (0/2230),0.00% (0/32),0.00% (0/2215)
src/haproxy/src/lru.c,0.00% (0/125),0.00% (0/6),0.00% (0/98)
src/haproxy/src/mailers.c,0.00% (0/215),0.00% (0/6),0.00% (0/170)
src/haproxy/src/mjson.c,0.00% (0/596),0.00% (0/41),0.00% (0/694)
src/haproxy/src/mqtt.c,0.00% (0/798),0.00% (0/11),0.00% (0/786)
src/haproxy/src/mworker-prog.c,0.00% (0/74),0.00% (0/2),0.00% (0/87)
src/haproxy/src/mworker.c,0.00% (0/321),0.00% (0/18),0.00% (0/409)
src/haproxy/src/pattern.c,0.00% (0/1556),0.00% (0/67),0.00% (0/1275)
src/haproxy/src/payload.c,0.00% (0/835),0.00% (0/17),0.00% (0/773)
src/haproxy/src/peers.c,0.00% (0/2083),0.00% (0/64),0.00% (0/3364)
src/haproxy/src/pipe.c,0.00% (0/71),0.00% (0/3),0.00% (0/75)
src/haproxy/src/pool.c,0.00% (0/249),0.00% (0/20),0.00% (0/205)
src/haproxy/src/protocol.c,0.00% (0/126),0.00% (0/8),0.00% (0/195)
src/haproxy/src/proxy.c,0.00% (0/1502),0.00% (0/45),0.00% (0/1559)
src/haproxy/src/queue.c,0.00% (0/343),0.00% (0/19),0.00% (0/354)
src/haproxy/src/regex.c,0.00% (0/128),0.00% (0/6),0.00% (0/86)
src/haproxy/src/resolvers.c,0.00% (0/1901),0.00% (0/45),0.00% (0/1680)
src/haproxy/src/ring.c,0.00% (0/207),0.00% (0/10),0.00% (0/181)
src/haproxy/src/sample.c,0.00% (0/2136),0.00% (0/128),0.00% (0/1264)
src/haproxy/src/server.c,0.00% (0/2818),0.00% (0/110),0.00% (0/2515)
src/haproxy/src/server_state.c,0.00% (0/522),0.00% (0/7),0.00% (0/499)
src/haproxy/src/session.c,0.00% (0/254),0.00% (0/9),0.00% (0/204)
src/haproxy/src/sha1.c,0.00% (0/137),0.00% (0/4),0.00% (0/1045)
src/haproxy/src/shctx.c,0.00% (0/194),0.00% (0/6),0.00% (0/146)
src/haproxy/src/signal.c,0.00% (0/131),0.00% (0/10),0.00% (0/145)
src/haproxy/src/sink.c,0.00% (0/645),0.00% (0/19),0.00% (0/567)
src/haproxy/src/slz.c,1.49% (6/403),3.23% (1/31),0.58% (1/171)
src/haproxy/src/sock.c,0.00% (0/520),0.00% (0/18),0.00% (0/439)
src/haproxy/src/sock_inet.c,0.00% (0/204),0.00% (0/9),0.00% (0/165)
src/haproxy/src/stats.c,0.00% (0/2788),0.00% (0/61),0.00% (0/2149)
src/haproxy/src/stick_table.c,0.00% (0/2249),0.00% (0/98),0.00% (0/1701)
src/haproxy/src/stream.c,0.00% (0/2305),0.00% (0/41),0.00% (0/3057)
src/haproxy/src/stream_interface.c,0.00% (0/867),0.00% (0/28),0.00% (0/945)
src/haproxy/src/task.c,0.00% (0/398),0.00% (0/12),0.00% (0/463)
src/haproxy/src/tcp_rules.c,0.00% (0/713),0.00% (0/18),0.00% (0/628)
src/haproxy/src/tcpcheck.c,0.00% (0/2788),0.00% (0/49),0.00% (0/6287)
src/haproxy/src/thread.c,0.00% (0/15),0.00% (0/1),0.00% (0/9)
src/haproxy/src/time.c,0.00% (0/144),0.00% (0/17),0.00% (0/73)
src/haproxy/src/tools.c,10.27% (312/3038),6.11% (8/131),12.50% (334/2672)
src/haproxy/src/trace.c,0.00% (0/205),0.00% (0/7),0.00% (0/284)
src/haproxy/src/uri_auth.c,0.00% (0/112),0.00% (0/7),0.00% (0/91)
src/haproxy/src/vars.c,0.00% (0/504),0.00% (0/36),0.00% (0/431)
Totals,1.31% (1071/81761),1.56% (52/3327),1.15% (913/79414)
