Path,Line Coverage,Function Coverage,Region Coverage
src/c-blosc2/internal-complibs/zstd-1.5.0/common/fse_decompress.c,0.00% (0/222),0.00% (0/15),0.00% (0/217)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/mem.h,0.00% (0/146),0.00% (0/30),0.00% (0/54)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/pool.c,0.00% (0/31),0.00% (0/7),0.00% (0/13)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/xxhash.c,0.00% (0/429),0.00% (0/41),0.00% (0/239)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/zstd_common.c,0.00% (0/27),0.00% (0/9),0.00% (0/30)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/zstd_internal.h,0.00% (0/103),0.00% (0/7),0.00% (0/41)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/fse_compress.c,0.00% (0/424),0.00% (0/20),0.00% (0/424)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/hist.c,0.00% (0/98),0.00% (0/7),0.00% (0/82)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/huf_compress.c,0.00% (0/482),0.00% (0/32),0.00% (0/484)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress.c,0.00% (0/4190),0.00% (0/215),0.00% (0/5262)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_internal.h,0.00% (0/530),0.00% (0/44),0.00% (0/287)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_literals.c,0.00% (0/113),0.00% (0/3),0.00% (0/94)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_sequences.c,0.00% (0/276),0.00% (0/12),0.00% (0/306)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_superblock.c,0.00% (0/368),0.00% (0/11),0.00% (0/316)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_cwksp.h,0.00% (0/368),0.00% (0/32),0.00% (0/178)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_double_fast.c,0.00% (0/398),0.00% (0/6),0.00% (0/277)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_fast.c,0.00% (0/366),0.00% (0/7),0.00% (0/207)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_lazy.c,0.00% (0/1374),0.00% (0/68),0.00% (0/916)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_ldm.c,0.00% (0/450),0.00% (0/20),0.00% (0/313)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_opt.c,0.00% (0/877),0.00% (0/33),0.00% (0/662)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/huf_decompress.c,0.00% (0/703),0.00% (0/52),0.00% (0/671)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/zstd_ddict.c,0.00% (0/136),0.00% (0/13),0.00% (0/128)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/zstd_decompress.c,0.00% (0/1452),0.00% (0/91),0.00% (0/2295)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/zstd_decompress_block.c,0.00% (0/877),0.00% (0/33),0.00% (0/982)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/cover.c,0.00% (0/786),0.00% (0/35),0.00% (0/661)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/divsufsort.c,0.00% (0/1248),0.00% (0/38),0.00% (0/1523)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/fastcover.c,0.00% (0/430),0.00% (0/12),0.00% (0/449)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/zdict.c,0.00% (0/729),0.00% (0/28),0.00% (0/749)
src/c-blosc2/plugins/codecs/codecs-registry.c,100.00% (10/10),100.00% (1/1),100.00% (1/1)
src/c-blosc2/plugins/codecs/ndlz/ndlz-private.h,0.00% (0/85),0.00% (0/2),0.00% (0/28)
src/c-blosc2/plugins/codecs/ndlz/ndlz.c,0.00% (0/32),0.00% (0/2),0.00% (0/48)
src/c-blosc2/plugins/codecs/ndlz/ndlz4x4.c,0.00% (0/520),0.00% (0/2),0.00% (0/344)
src/c-blosc2/plugins/codecs/ndlz/ndlz8x8.c,0.00% (0/402),0.00% (0/2),0.00% (0/247)
src/c-blosc2/plugins/codecs/ndlz/xxhash.h,0.00% (0/1668),0.00% (0/114),0.00% (0/311)
src/c-blosc2/plugins/filters/filters-registry.c,100.00% (12/12),100.00% (1/1),100.00% (1/1)
src/c-blosc2/plugins/filters/ndcell/ndcell.c,0.00% (0/285),0.00% (0/5),0.00% (0/132)
src/c-blosc2/plugins/filters/ndmean/ndmean.c,0.00% (0/351),0.00% (0/5),0.00% (0/177)
src/c-blosc2/tests/fuzz/fuzz_compress_frame.c,82.81% (53/64),100.00% (1/1),87.50% (35/40)
Totals,5.57% (2076/37276),6.61% (111/1680),3.82% (1290/33812)
