Path,Line Coverage,Function Coverage,Region Coverage
src/c-blosc2/internal-complibs/zstd-1.5.0/common/fse_decompress.c,72.07% (160/222),40.00% (6/15),72.81% (158/217)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/mem.h,23.97% (35/146),46.67% (14/30),44.44% (24/54)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/pool.c,0.00% (0/31),0.00% (0/7),0.00% (0/13)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/xxhash.c,32.87% (141/429),34.15% (14/41),26.36% (63/239)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/zstd_common.c,48.15% (13/27),44.44% (4/9),36.67% (11/30)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/zstd_internal.h,31.07% (32/103),42.86% (3/7),56.10% (23/41)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/fse_compress.c,0.00% (0/424),0.00% (0/20),0.00% (0/424)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/hist.c,0.00% (0/98),0.00% (0/7),0.00% (0/82)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/huf_compress.c,0.00% (0/482),0.00% (0/32),0.00% (0/484)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress.c,0.00% (0/4190),0.00% (0/215),0.00% (0/5262)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_internal.h,0.00% (0/530),0.00% (0/44),0.00% (0/287)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_literals.c,0.00% (0/113),0.00% (0/3),0.00% (0/94)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_sequences.c,0.00% (0/276),0.00% (0/12),0.00% (0/306)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_superblock.c,0.00% (0/368),0.00% (0/11),0.00% (0/316)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_cwksp.h,0.00% (0/368),0.00% (0/32),0.00% (0/178)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_double_fast.c,0.00% (0/398),0.00% (0/6),0.00% (0/277)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_fast.c,0.00% (0/366),0.00% (0/7),0.00% (0/207)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_lazy.c,0.00% (0/1374),0.00% (0/68),0.00% (0/916)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_ldm.c,0.00% (0/450),0.00% (0/20),0.00% (0/313)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_opt.c,0.00% (0/877),0.00% (0/33),0.00% (0/662)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/huf_decompress.c,55.90% (393/703),30.77% (16/52),43.37% (291/671)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/zstd_ddict.c,65.44% (89/136),61.54% (8/13),58.59% (75/128)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/zstd_decompress.c,29.55% (429/1452),25.27% (23/91),25.27% (580/2295)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/zstd_decompress_block.c,89.74% (787/877),81.82% (27/33),84.52% (830/982)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/cover.c,0.00% (0/786),0.00% (0/35),0.00% (0/661)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/divsufsort.c,0.00% (0/1248),0.00% (0/38),0.00% (0/1523)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/fastcover.c,0.00% (0/430),0.00% (0/12),0.00% (0/449)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/zdict.c,0.00% (0/729),0.00% (0/28),0.00% (0/749)
src/c-blosc2/plugins/codecs/codecs-registry.c,100.00% (10/10),100.00% (1/1),100.00% (1/1)
src/c-blosc2/plugins/codecs/ndlz/ndlz-private.h,0.00% (0/85),0.00% (0/2),0.00% (0/28)
src/c-blosc2/plugins/codecs/ndlz/ndlz.c,0.00% (0/32),0.00% (0/2),0.00% (0/48)
src/c-blosc2/plugins/codecs/ndlz/ndlz4x4.c,0.00% (0/520),0.00% (0/2),0.00% (0/344)
src/c-blosc2/plugins/codecs/ndlz/ndlz8x8.c,0.00% (0/402),0.00% (0/2),0.00% (0/247)
src/c-blosc2/plugins/codecs/ndlz/xxhash.h,0.00% (0/1668),0.00% (0/114),0.00% (0/311)
src/c-blosc2/plugins/filters/filters-registry.c,100.00% (12/12),100.00% (1/1),100.00% (1/1)
src/c-blosc2/plugins/filters/ndcell/ndcell.c,5.26% (15/285),20.00% (1/5),2.27% (3/132)
src/c-blosc2/plugins/filters/ndmean/ndmean.c,4.27% (15/351),20.00% (1/5),1.69% (3/177)
src/c-blosc2/tests/fuzz/fuzz_decompress_chunk.c,100.00% (25/25),100.00% (1/1),100.00% (14/14)
Totals,14.38% (5350/37206),16.44% (276/1679),13.87% (4683/33765)
