Path,Line Coverage,Function Coverage,Region Coverage
src/c-blosc2/internal-complibs/zstd-1.5.0/common/fse_decompress.c,0.00% (0/222),0.00% (0/15),0.00% (0/217)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/mem.h,28.77% (42/146),56.67% (17/30),53.70% (29/54)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/pool.c,0.00% (0/31),0.00% (0/7),0.00% (0/13)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/xxhash.c,2.33% (10/429),2.44% (1/41),1.26% (3/239)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/zstd_common.c,44.44% (12/27),33.33% (3/9),33.33% (10/30)
src/c-blosc2/internal-complibs/zstd-1.5.0/common/zstd_internal.h,30.10% (31/103),42.86% (3/7),41.46% (17/41)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/fse_compress.c,77.59% (329/424),60.00% (12/20),57.08% (242/424)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/hist.c,85.71% (84/98),57.14% (4/7),65.85% (54/82)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/huf_compress.c,75.52% (364/482),53.12% (17/32),67.56% (327/484)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress.c,24.84% (1041/4190),27.91% (60/215),14.80% (779/5262)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_internal.h,46.98% (249/530),65.91% (29/44),59.23% (170/287)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_literals.c,61.06% (69/113),66.67% (2/3),64.89% (61/94)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_sequences.c,73.19% (202/276),75.00% (9/12),61.76% (189/306)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_compress_superblock.c,0.00% (0/368),0.00% (0/11),0.00% (0/316)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_cwksp.h,61.41% (226/368),90.62% (29/32),75.84% (135/178)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_double_fast.c,36.93% (147/398),33.33% (2/6),31.77% (88/277)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_fast.c,29.23% (107/366),28.57% (2/7),25.12% (52/207)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_lazy.c,31.44% (432/1374),17.65% (12/68),28.06% (257/916)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_ldm.c,2.44% (11/450),10.00% (2/20),1.92% (6/313)
src/c-blosc2/internal-complibs/zstd-1.5.0/compress/zstd_opt.c,76.74% (673/877),78.79% (26/33),74.32% (492/662)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/huf_decompress.c,0.00% (0/703),0.00% (0/52),0.00% (0/671)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/zstd_ddict.c,0.00% (0/136),0.00% (0/13),0.00% (0/128)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/zstd_decompress.c,0.00% (0/1452),0.00% (0/91),0.00% (0/2295)
src/c-blosc2/internal-complibs/zstd-1.5.0/decompress/zstd_decompress_block.c,0.00% (0/877),0.00% (0/33),0.00% (0/982)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/cover.c,0.00% (0/786),0.00% (0/35),0.00% (0/661)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/divsufsort.c,0.00% (0/1248),0.00% (0/38),0.00% (0/1523)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/fastcover.c,0.00% (0/430),0.00% (0/12),0.00% (0/449)
src/c-blosc2/internal-complibs/zstd-1.5.0/dictBuilder/zdict.c,0.00% (0/729),0.00% (0/28),0.00% (0/749)
src/c-blosc2/plugins/codecs/codecs-registry.c,100.00% (10/10),100.00% (1/1),100.00% (1/1)
src/c-blosc2/plugins/codecs/ndlz/ndlz-private.h,0.00% (0/85),0.00% (0/2),0.00% (0/28)
src/c-blosc2/plugins/codecs/ndlz/ndlz.c,0.00% (0/32),0.00% (0/2),0.00% (0/48)
src/c-blosc2/plugins/codecs/ndlz/ndlz4x4.c,0.00% (0/520),0.00% (0/2),0.00% (0/344)
src/c-blosc2/plugins/codecs/ndlz/ndlz8x8.c,0.00% (0/402),0.00% (0/2),0.00% (0/247)
src/c-blosc2/plugins/codecs/ndlz/xxhash.h,0.00% (0/1668),0.00% (0/114),0.00% (0/311)
src/c-blosc2/plugins/filters/filters-registry.c,100.00% (12/12),100.00% (1/1),100.00% (1/1)
src/c-blosc2/plugins/filters/ndcell/ndcell.c,0.00% (0/285),0.00% (0/5),0.00% (0/132)
src/c-blosc2/plugins/filters/ndmean/ndmean.c,0.00% (0/351),0.00% (0/5),0.00% (0/177)
src/c-blosc2/tests/fuzz/fuzz_compress_chunk.c,80.49% (33/41),100.00% (1/1),82.76% (24/29)
Totals,24.41% (9118/37356),28.64% (482/1683),21.49% (7279/33871)
